id,date,sleep_duration_hr,steps,nightly_temperature,stress_score,daily_temperature_variation,lightly_active_minutes,moderately_active_minutes,very_active_minutes
621e2eaf67b776a2406b14ac,2021-11-17,8.516666666666667,24422.0,34.1411643836,85.0,-2.298941372236364,361.0,80.0,48.0
621e2eaf67b776a2406b14ac,2021-11-18,6.966666666666667,29500.0,34.5182296651,84.0,-2.58318527665115,310.0,89.0,83.0
621e2eaf67b776a2406b14ac,2021-11-19,6.85,18294.0,34.1460340633,82.0,-2.0725900798975103,348.0,51.0,19.0
621e2eaf67b776a2406b14ac,2021-11-20,8.05,43112.0,34.4455590062,82.0,-2.555955043618683,374.0,139.0,142.0
621e2eaf67b776a2406b14ac,2021-11-21,5.183333333333334,25177.0,34.6205948553,74.0,-2.1859918889052787,375.0,82.0,50.0
621e2eaf67b776a2406b14ac,2021-11-22,7.366666666666666,14766.0,34.3214819005,83.0,-1.761288168343785,336.0,23.0,24.0
621e2eaf67b776a2406b14ac,2021-11-24,8.15,16718.0,34.6672801636,0.0,-1.3371330581666667,298.0,41.0,26.0
621e2eaf67b776a2406b14ac,2021-11-25,8.983333333333333,13310.0,33.9512894249,84.0,-2.1623569556555555,297.0,13.0,26.0
621e2eaf67b776a2406b14ac,2021-11-26,8.533333333333333,25743.0,34.4203508772,82.0,-2.3261636862761192,354.0,69.0,70.0
621e2eaf67b776a2406b14ac,2021-11-27,4.883333333333334,18229.0,34.1932935154,76.0,-2.522317727522807,323.0,41.0,33.0
621e2eaf67b776a2406b14ac,2021-11-28,8.5,18972.0,34.7881862745,73.0,-2.3588225012475457,282.0,48.0,49.0
621e2eaf67b776a2406b14ac,2021-11-29,8.15,12038.0,34.6930163599,76.0,-1.5493573896649595,264.0,16.0,16.0
621e2eaf67b776a2406b14ac,2021-11-30,9.633333333333333,14092.0,34.7710708117,86.0,-1.855931629911111,332.0,11.0,9.0
621e2eaf67b776a2406b14ac,2021-12-01,10.216666666666669,14390.0,33.9467752443,79.0,-2.320510936851633,377.0,30.0,19.0
621e2eaf67b776a2406b14ac,2021-12-02,7.4,15767.0,34.4839662921,84.0,-2.104160473512106,362.0,30.0,31.0
621e2eaf67b776a2406b14ac,2021-12-03,4.783333333333333,9935.0,34.5762543554,81.0,-2.0432448324756947,323.0,17.0,15.0
621e2eaf67b776a2406b14ac,2021-12-04,7.416666666666667,17922.0,34.3318764045,73.0,-2.511070351879336,440.0,69.0,4.0
621e2eaf67b776a2406b14ac,2021-12-05,7.45,18324.0,33.9452120536,87.0,-1.935452046340057,473.0,17.0,5.0
621e2eaf67b776a2406b14ac,2021-12-06,7.816666666666666,7373.0,34.3615351812,82.0,-2.095693565197094,289.0,3.0,6.0
621e2eaf67b776a2406b14ac,2021-12-07,6.083333333333333,13100.0,34.1913387978,77.0,-2.0291064311333336,320.0,32.0,28.0
621e2eaf67b776a2406b14ac,2021-12-08,9.7,15013.0,34.1535652921,88.0,-2.9608681179471623,338.0,26.0,27.0
621e2eaf67b776a2406b14ac,2021-12-09,8.7,14607.0,34.1815392354,76.0,-2.437572103481818,353.0,14.0,19.0
621e2eaf67b776a2406b14ac,2021-12-10,7.433333333333334,18363.0,33.7631838565,85.0,-2.536549309579013,410.0,16.0,14.0
621e2eaf67b776a2406b14ac,2021-12-11,9.766666666666667,14346.0,34.2953071672,89.0,-2.266536498616248,338.0,31.0,26.0
621e2eaf67b776a2406b14ac,2021-12-12,8.766666666666667,20046.0,34.1319216061,71.0,-1.9751960560888888,376.0,49.0,28.0
621e2eaf67b776a2406b14ac,2021-12-13,8.766666666666667,12424.0,34.7004079696,72.0,-1.451238189808176,237.0,33.0,21.0
621e2eaf67b776a2406b14ac,2021-12-14,10.2,11669.0,33.8355220228,78.0,-2.3510308786536296,257.0,29.0,26.0
